model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
source_event_robustness,C(source_record_id)[T.2018-0205-IND],ordinary,-0.8970952793612778,0.9830288456124973,0.3614619701114681,-2.8237964125257573,1.029605853803202,0.4077523478800821,0.059380082961089035,2.7999620227992725,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0213-IND],ordinary,-2.820572628056988,1.2490527914544178,0.02393510843991663,-5.2686711140968665,-0.37247414201711004,0.05957182044439641,0.00515045038827256,0.689027468188012,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0216-IND],ordinary,-0.354325363846578,1.3869308502813822,0.7983566929607827,-3.072659879445601,2.364009151752445,0.7016466397629846,0.046297844250161216,10.633497413628998,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0286-IND],ordinary,-2.048763200705659,1.1443004212708345,0.07338854563736393,-4.291550813890506,0.19402441247918834,0.12889422132744402,0.013683687980664666,1.2141259224182583,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0295-IND],ordinary,0.23364722655838227,0.815395976026712,0.7744611208738349,-1.3644995195928586,1.831793972709623,1.2631987906117457,0.255508521002066,6.245080118443776,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0345-IND],ordinary,-1.818297108159438,0.9677852344929162,0.0602686724266922,-3.7151213125352047,0.0785270962163287,0.1623018983209412,0.024352486673925,1.0816926645436278,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0370-IND],ordinary,-2.6497608510153063,0.8765093009022582,0.0025021314977293676,-4.367687512898113,-0.9318341891324993,0.07066811124681188,0.012680530251596996,0.3938306875268749,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2018-0372-IND],ordinary,-3.320565064211616,0.9745879370381347,0.000656455891877063,-5.23072232057355,-1.410407807849682,0.0361324088533422,0.005349659737449483,0.24404373990475864,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2019-0288-IND],ordinary,0.7043730199969249,1.2241371112158304,0.5650183040892887,-1.6948916301250052,3.103637670118855,2.022578171229526,0.1836191267313531,22.278847152558985,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2019-0331-IND],ordinary,-1.0871639783551825,0.8158086092025537,0.18265609189233678,-2.686119470669899,0.5117915139595344,0.3371713643371147,0.06814486510252406,1.6682772613594998,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2019-0383-IND],ordinary,0.3448804594531725,0.8695027337655218,0.6916321919892299,-1.3593135831863694,2.0490745020927146,1.4118211397087723,0.2568370137052713,7.760715255846584,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2019-0499-IND],ordinary,-2.2053007624993675,0.922298220881087,0.01679830003326402,-4.012972058431666,-0.3976294665670692,0.11021737106696367,0.018079581734641022,0.6719109470125114,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2019-0574-IND],ordinary,-2.601795910212799,1.039301047115949,0.012300320198282751,-4.638788531654825,-0.564803288770773,0.07414030924205112,0.00966940471245037,0.5684719605778092,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2020-0206-IND],ordinary,-0.8142264168209018,1.0797133310693208,0.4507810619159711,-2.9304256593445426,1.3019728257027388,0.44298187817809737,0.053374314033648014,3.6765426956210865,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2020-0304-IND],ordinary,-4.117746801536134,0.8146503863706493,4.312522419562068e-07,-5.714432218814246,-2.5210613842580214,0.016281157823839713,0.0032980225453055952,0.08037425349383567,,,,1070,2.5854852323672026
