state,district,event_rows,status,gaul_name,gaul_code,candidates,source,note
Punjab,Pathankot,4,boundary_review_required,,,Patiala | Faridkot | Bathinda,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Punjab,SAS Nagar,2,boundary_review_required,,,Sangrur | Rupnagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Punjab,SBS Nagar,2,boundary_review_required,,,Sangrur | Rupnagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Punjab,Sri Muktsar Sahib,1,boundary_review_required,,,Muktsar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Punjab,Tarn Taran,3,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Rajasthan,Chittorgarh,1,boundary_review_required,,,Chittaurgarh,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Rajasthan,Dholpur,1,boundary_review_required,,,Dhaulpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Rajasthan,Jalore,2,boundary_review_required,,,Jalor,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Sikkim,Gyalshing,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Sikkim,Mangan,3,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Chengalpattu,1,boundary_review_required,,,Chennai | Nagapattinam,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Kallakurichi,1,boundary_review_required,,,Kanniyakumari | Karur | Dharmapuri,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Kanchipuram,1,boundary_review_required,,,Kancheepuram | Ramanathapuram | Villupuram,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Kanyakumari,2,boundary_review_required,,,Kanniyakumari,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Krishnagiri,1,boundary_review_required,,,Nilgiris | Virudhunagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Mayiladuthurai,1,boundary_review_required,,,Madurai | Villupuram | Ramanathapuram,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Ranipet,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Sivagangai,1,boundary_review_required,,,Sivaganga,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tenkasi,2,boundary_review_required,,,Theni | Chennai,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Thiruvarur,2,boundary_review_required,,,Thiruvallur | Karur | Thanjavur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
